Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,392.5,403.0,373.0,401.899994,401.737305,4377363
2016-01-04,400.0,400.100006,375.049988,377.049988,376.897339,7822660
2016-01-05,381.049988,382.450012,372.100006,374.450012,374.298431,6901068
2016-01-06,374.25,375.5,364.600006,365.899994,365.751862,7211230
2016-01-07,356.25,358.0,338.100006,343.549988,343.410919,11782307
2016-01-08,345.600006,355.850006,345.600006,353.350006,353.20697,8770370
2016-01-11,343.899994,364.75,341.649994,360.200012,360.054199,10576721
2016-01-12,362.700012,363.950012,351.600006,355.0,354.856293,8363062
2016-01-13,360.450012,369.799988,356.299988,364.600006,364.452393,14191511
2016-01-14,356.100006,359.399994,346.799988,354.299988,354.156555,10673343
2016-01-15,353.899994,353.899994,339.350006,341.299988,341.161804,6557584
2016-01-18,341.0,343.299988,334.399994,340.200012,340.062286,6285144
2016-01-19,343.0,357.200012,342.0,354.149994,354.006622,7304555
2016-01-20,349.649994,349.649994,338.799988,342.25,342.11145,9156596
2016-01-21,340.649994,344.149994,323.0,328.549988,328.416992,16524035
2016-01-22,335.5,345.899994,331.5,339.5,339.362549,9595392
2016-01-25,345.5,345.5,331.149994,332.600006,332.465363,6106931
2016-01-27,338.0,341.0,333.200012,337.049988,336.913544,8333202
2016-01-28,336.299988,341.399994,332.299988,334.200012,334.064728,13153617
2016-01-29,332.0,340.600006,324.200012,336.899994,336.763611,10350998
2016-02-01,338.75,342.399994,332.25,338.5,338.362976,6563774
2016-02-02,343.799988,344.700012,327.700012,329.549988,329.416565,9179304
2016-02-03,325.549988,325.950012,317.049988,320.299988,320.170319,6685445
2016-02-04,325.299988,329.299988,321.200012,325.5,325.368225,6086981
2016-02-05,330.5,339.0,326.649994,337.100006,336.963531,9236577
2016-02-08,334.950012,334.950012,321.350006,323.5,323.369049,6974342
2016-02-09,319.5,322.649994,308.799988,310.649994,310.524231,12489713
2016-02-10,309.850006,309.950012,288.25,291.549988,291.431946,21756193
2016-02-11,298.5,300.0,265.799988,276.350006,276.238129,21632886
2016-02-12,281.0,303.950012,271.600006,298.350006,298.229218,21542152
2016-02-15,297.899994,320.75,297.700012,317.25,317.121552,18888699
2016-02-16,319.399994,324.200012,298.899994,301.149994,301.028076,13598374
2016-02-17,302.950012,313.5,298.649994,310.149994,310.024445,13717526
2016-02-18,315.149994,319.100006,306.200012,314.0,313.872894,12498247
2016-02-19,312.100006,320.0,311.100006,318.200012,318.071198,7706462
2016-02-22,320.0,324.200012,313.600006,318.850006,318.720917,8699779
2016-02-23,324.0,324.75,314.450012,318.549988,318.421021,11635881
2016-02-24,316.0,316.0,304.75,306.299988,306.175995,7629905
2016-02-25,309.799988,312.200012,296.200012,298.200012,298.079285,12959812
2016-02-26,303.200012,305.200012,297.600006,301.799988,301.677795,9181680
2016-02-29,303.200012,305.75,290.25,299.700012,299.578674,12607181
2016-03-01,301.100006,317.0,301.100006,315.350006,315.222351,11440045
2016-03-02,322.899994,326.0,314.350006,317.100006,316.971619,12418149
2016-03-03,324.5,339.799988,321.5,336.700012,336.56369,12844057
2016-03-04,340.149994,348.75,338.649994,343.5,343.360931,8197520
2016-03-08,346.5,353.75,341.5,346.049988,345.909882,7888999
2016-03-09,339.899994,349.0,336.0,347.700012,347.559265,6383925
2016-03-10,347.0,353.600006,341.399994,348.5,348.358917,7443048
2016-03-11,348.5,355.899994,345.149994,354.25,354.106598,7641330
2016-03-14,359.899994,370.549988,358.950012,366.450012,366.301666,13066837
2016-03-15,366.899994,370.700012,359.549988,360.399994,360.254089,9800731
2016-03-16,359.950012,362.75,353.299988,359.549988,359.404419,7554537
2016-03-17,366.899994,367.399994,358.600006,360.899994,360.753876,6914296
2016-03-18,362.5,367.799988,362.5,366.049988,365.901794,6594019
2016-03-21,367.25,375.5,365.75,374.700012,374.548309,9325793
